name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;291;0;360;3077;1815;3077;1700;0
header;225;161;225;194;1858;194;1858;161
A;1176;134;1176;141;1185;141;1185;134
A;1023;225;1023;253;1046;253;1046;225
B;850;413;850;432;864;432;864;413
A;1212;823;1212;830;1218;830;1218;823
B;1026;902;1026;929;1047;929;1047;902
A;989;1458;989;1483;1010;1483;1010;1458
C;1026;1568;1026;1597;1046;1597;1046;1568
D;1030;2239;1030;2268;1055;2268;1055;2239
A;1644;2340;1644;2351;1651;2351;1651;2340
A;637;2373;637;2385;642;2385;642;2373
A;1280;2489;1280;2495;1285;2495;1285;2489
A;437;2547;437;2559;445;2559;445;2547
A;985;2689;985;2690;985;2690;985;2689
A;901;2894;901;2906;906;2906;906;2894
