name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;106;0;83;3067;1023;3067;908;0
header;61;144;61;177;1802;177;1802;144
A;855;208;855;234;877;234;877;208
A;771;622;771;628;777;628;777;622
B;856;878;856;905;877;905;877;878
B;504;982;504;1001;517;1001;517;982
A;249;1495;249;1501;255;1501;255;1495
C;851;1525;851;1553;872;1553;872;1525
B;889;1539;889;1559;903;1559;903;1539
D;864;2320;864;2347;885;2347;885;2320
A;690;2539;690;2544;694;2544;694;2539
A;382;2743;382;2744;384;2744;384;2743
A;147;2793;147;2795;149;2795;149;2793
